,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Juventus FC,Serie A,€202.23m,81,€176.93m,82,€-25.30m
1,Inter Milan,Serie A,€164.63m,60,€18.50m,56,€-146.13m
2,AS Roma,Serie A,€102.50m,55,€76.43m,61,€-26.07m
3,SSC Napoli,Serie A,€99.09m,39,€116.81m,38,€17.72m
4,UC Sampdoria,Serie A,€39.65m,52,€80.70m,54,€41.05m
5,SS Lazio,Serie A,€36.30m,28,€28.70m,35,€-7.60m
6,Bologna FC 1909,Serie A,€31.40m,37,€16.98m,41,€-14.42m
7,AC Milan,Serie A,€29.56m,32,€25.15m,30,€-4.41m
8,Torino FC,Serie A,€28.77m,48,€26.52m,49,€-2.25m
9,US Sassuolo,Serie A,€27.51m,25,€27.80m,22,€292k
10,Genoa CFC,Serie A,€27.20m,54,€50.30m,56,€23.10m
11,Udinese Calcio,Serie A,€26.50m,60,€32.23m,61,€5.73m
12,ACF Fiorentina,Serie A,€16.23m,44,€31.05m,44,€14.82m
13,Atalanta BC,Serie A,€15.94m,68,€41.33m,69,€25.39m
14,Delfino Pescara 1936,Serie A,€14.29m,69,€22.27m,66,€7.98m
15,Chievo Verona,Serie A,€12.57m,55,€6.28m,57,€-6.29m
16,Cagliari Calcio,Serie A,€9.72m,39,€12.12m,37,€2.40m
17,US Palermo,Serie A,€8.48m,37,€29.25m,38,€20.78m
18,FC Empoli,Serie A,€7.00m,33,€15.00m,31,€8.00m
19,FC Crotone,Serie A,€5.95m,37,€7.75m,39,€1.80m
